30726998,pediatric, Patent ductus arteriosus (PDA) is the most common cardiovascular problem of prematurity. Our objective was to examine the effect of postmenstrual age (PMA) on response to medical PDA treatment.
30726976,pediatric,"Dysembryoplastic neuroepithelial tumors (DNETs) are uncommon neural tumors presenting most often in children and young adults and associated with intractable seizures. Rare midline neoplasms with similar histological features to those found in DNETs have been described near the septum pellucidum and termed 'DNET-like neoplasms of the septum pellucidum'. Due to their rarity, these tumors have been described in just a few reports and their genetic alterations sought only in small series."
30726971,pediatric,"Craniopharyngioma constitutes one of the most challenging tumors. The surgery may be the definitive treatment and multiple approaches have been described based on different anatomical considerations. The choice of the right approach is the key to optimize the resection and minimize the risks. Besides, the presentation of this tumor in the pediatric population can carry additional challenges that are not present in adults, like the absence of pneumatization of the sphenoid bone for an endoscopic endonasal approach. In this video, we present a case of a 6-yr-old girl with a large sellar-suprasellar craniopharyngioma. The fact that the sphenoid was not pneumatized and the chiasm was elevated 1.2 cm from the planum sphenoidal were some of the reasons to choose a subfrontal infrachiasmatic approach as we discuss and we show in the video. This approach has not been very well established in the literature but we demonstrate it can become a good alternative for a particular type of sellar-suprasellar tumors. Appropriate video authorization consent was obtained from the parent of the patient."
30726969,pediatric,"Glucagon-like peptide-1 (GLP-1) is an incretin hormone used therapeutically in T2DM and obesity. The interplay between ambient fatty acids (FFA) and GLP-1, remains unclear. Acipimox suppresses adipose tissue lipolysis via activation of the PUMA-G (aka HCA2 and GPR109a) receptor."
30726952,pediatric,We conducted this nationwide population-based study in Taiwan to investigate whether there is a bidirectional relationship between SLE and non-Hodgkin's lymphoma (NHL).
30726926,pediatric,"Hemophagocytic lymphohistiocytosis (HLH) is a hematological disorder that can be due to genetic (primary HLH) causes or excessive activation of the immune system in association with infection, malignancy, rheumatologic disorders, or immune suppression (secondary HLH). Hemophagocytic lymphohistiocytosis remains an under-recognized condition among neuropathologists, especially the secondary forms, where it may be diagnosed only at brain biopsy or autopsy due to confounding comorbidities. The CNS is frequently affected, but neuropathological features are underappreciated. We place our own experience with HLH in context with review of neuropathological features from the literature. A 10-year database search for cases from our pediatric and adult hospitals with re-review of neuropathological features revealed 1 biopsy and 5 autopsies. Literature that reported neuropathological features was tabulated and 8 adult and 12 pediatric cases were identified. Children had predominantly secondary HLH: 5/12 co-associated with Epstein Barr (or dual) viral infections, 3/12 with malignancy. One biopsy showed florid lymphohistiocytic infiltrates and hemophagocytosis and served as first diagnosis; 2/5 CNS autopsies had originally been reported as negative for HLH, but on re-review had subtle lymphohistiocytic infiltrates with hemophagocytosis confined to leptomeninges. In conclusion, the neuropathological features are highly variable in HLH; features such as focal erythrophagocytosis may be histologically subtle in early phases, but should be sought."
30726913,pediatric,The literature provides conflicting data on sexual function in women with inflammatory bowel disease (IBD). We aim to describe sexual function at baseline and over time in a prospective inception cohort of adult women with IBD.
30726890,pediatric,"Since 1988, our centre employs vertical plication repair with deattachment and reattachment of the tricuspid valve for Ebstein anomaly. This study describes the characteristics and long-term outcomes of our single-centre cohort."
30726868,pediatric,"The disease risk score is a summary score that can be used to control for confounding with a potentially large set of covariates. While less widely used than the exposure propensity score, the disease risk score approach may be useful for novel or unusual exposures, when treatment indications or exposure patterns are rapidly changing, or when more is known about the nature of how covariates cause disease than is known about factors influencing propensity for the exposure of interest (sometimes called ""treatment""). Focusing on the simple case of a binary point exposure, we describe a marginal structural model for estimation of risk (or prevalence) ratios. The proposed model incorporates the disease risk score as an offset in a regression model, and yields an estimate of a standardized risk ratio where the target population is the exposed group. Simulations are used to illustrate the approach, and an empirical example is provided. Confounder control based on the proposed method may be a useful alternative to approaches based on the exposure propensity score, or as a complement to them."
30726856,pediatric,There is a growing body of evidence showing that there is an association between oxidative damage and kidney injury in patients with nephrotic syndrome (NS). Dynamic thiol/disulphide homeostasis (DTDH) is an important antioxidant system. The aim of this study was to determine if DTDH could be used as a biomarker of antioxidant status in pediatric NS patients using a novel automated method.
